Date,Open,High,Low,Close,Volume,OpenMax,OpenMin,Day
2020-09-24,1677.73,1679.59,1657.57,1665.96,24207229,1677.73,1677.73,4
2020-09-25,1666.65,1678.51,1658.33,1674.14,44107627,1677.73,1666.65,5
2020-09-28,1686.57,1738.44,1686.57,1738.44,37983678,1686.57,1666.65,1
2020-09-29,1737.48,1737.48,1718.21,1718.21,21346383,1737.48,1666.65,2
2020-09-30,1713.01,1719.15,1700.49,1712.73,25682893,1737.48,1666.65,3
2020-10-01,1719.55,1723.85,1687.54,1694.18,22310007,1737.48,1666.65,4
2020-10-02,1690.04,1704.58,1675.2,1697.39,18298699,1737.48,1666.65,5
2020-10-05,1710.14,1739.17,1710.14,1731.85,20264194,1737.48,1666.65,1
2020-10-06,1739.86,1749.28,1733.17,1735.45,26458687,1739.86,1666.65,2
2020-10-07,1736.62,1741.18,1715.75,1736.61,23829671,1739.86,1666.65,3
2020-10-08,1742.29,1746.68,1711.56,1719.91,22047535,1742.29,1666.65,4
2020-10-09,1718.45,1718.45,1679.01,1698.91,27423797,1742.29,1666.65,5
2020-10-12,1701.76,1707.3,1681.87,1683.21,25089668,1742.29,1666.65,1
2020-10-13,1685.25,1685.25,1659.1,1660.12,26031951,1742.29,1666.65,2
2020-10-14,1658.04,1691.64,1657.9,1670.26,33451091,1742.29,1658.04,3
2020-10-15,1660.64,1660.64,1625.1,1627.59,31769308,1742.29,1658.04,4
2020-10-16,1635.02,1665.8,1635.02,1655.36,37750985,1742.29,1635.02,5
2020-10-19,1663.75,1681.74,1640.82,1648.11,22941451,1742.29,1635.02,1
2020-10-20,1647.95,1667.16,1638.2,1656.34,23654536,1742.29,1635.02,2
2020-10-21,1656.97,1663.23,1634.28,1641.42,21076142,1742.29,1635.02,3
2020-10-22,1634.69,1664.37,1627.13,1642.7,27413508,1742.29,1634.69,4
2020-10-23,1643.34,1661.16,1638.76,1645.32,61467814,1742.29,1634.69,5
2020-10-26,1635.49,1645.46,1627.61,1631.66,21450891,1742.29,1634.69,1
2020-10-27,1635.42,1653.11,1612.59,1625.54,29281825,1742.29,1634.69,2
2020-10-28,1605.43,1610.05,1534.87,1549.74,39349601,1742.29,1605.43,3
2020-10-29,1557.47,1567.72,1529.15,1542.76,36970182,1742.29,1557.47,4
2020-10-30,1528.78,1535.27,1496.76,1515.97,40057456,1742.29,1528.78,5
2020-11-02,1526.2,1563.93,1526.2,1556.14,35369810,1742.29,1526.2,1
2020-11-03,1564.86,1636.9,1564.75,1636.28,42706867,1742.29,1526.2,2
2020-11-04,1622.29,1641.78,1590.72,1640.94,32893579,1742.29,1526.2,3
2020-11-05,1654.61,1678.4,1649.07,1670.43,29239154,1742.29,1526.2,4
2020-11-06,1665.72,1702.98,1654.6,1697.49,29419624,1742.29,1526.2,5
2020-11-09,1707.52,1788.27,1697.78,1765.71,59970055,1742.29,1526.2,1
2020-11-10,1768.9,1794.79,1741.62,1779.34,55221876,1768.9,1526.2,2
2020-11-12,1777.24,1791.08,1761.91,1771.49,52043843,1777.24,1526.2,4
2020-11-13,1768.19,1768.51,1743.81,1749.41,25817243,1777.24,1526.2,5
2020-11-16,1764.1,1799.36,1764.1,1799.02,46540695,1777.24,1526.2,1
2020-11-17,1797.57,1801.73,1775.91,1793.56,38779648,1797.57,1526.2,2
2020-11-18,1792.17,1812.8,1787.08,1810.43,31034452,1797.57,1526.2,3
2020-11-19,1803.49,1806.98,1782.02,1789.79,25264725,1803.49,1526.2,4
2020-11-20,1788.48,1821.3,1780.11,1820.85,24018420,1803.49,1526.2,5
2020-11-23,1835.53,1860.73,1823.32,1832.04,26237893,1835.53,1526.2,1
2020-11-24,1841.11,1861.39,1831.12,1859.42,26738682,1841.11,1526.2,2
2020-11-25,1866.15,1866.15,1840.63,1860.15,28023478,1866.15,1526.2,3
2020-11-26,1865.67,1873.96,1844.11,1849.57,17687253,1866.15,1526.2,4
2020-11-27,1846.73,1853.78,1834.69,1852.69,20434292,1866.15,1526.2,5
2020-11-30,1845.96,1851.37,1817.83,1830.04,70547131,1866.15,1526.2,1
2020-12-01,1844.33,1871.17,1844.33,1853.38,26822976,1866.15,1526.2,2
2020-12-02,1855.33,1899.37,1845.44,1897.97,27335738,1866.15,1526.2,3
2020-12-03,1900.94,1903.32,1880.22,1890.11,29798820,1900.94,1526.2,4
2020-12-04,1894.4,1952.28,1894.35,1947.68,28408098,1900.94,1526.2,5
2020-12-07,1949.61,1965.92,1926.87,1958.53,32118759,1949.61,1526.2,1
2020-12-08,1941.14,1970.27,1933.68,1970.27,33485126,1949.61,1526.2,2
2020-12-09,1976.65,2023.91,1976.65,1994.12,57962389,1976.65,1526.2,3
2020-12-10,1995.63,2008.96,1975.26,1984.0,40469559,1995.63,1526.2,4
2020-12-11,1985.51,1992.09,1927.53,1950.85,38524912,1995.63,1526.2,5
2020-12-14,1956.48,1961.77,1916.03,1939.07,34170734,1995.63,1526.2,1
2020-12-15,1938.79,1963.56,1933.23,1955.69,27794678,1995.63,1526.2,2
2020-12-16,1963.84,1996.4,1963.84,1985.26,34099333,1995.63,1526.2,3
2020-12-17,1997.91,2014.44,1949.99,1975.76,43583349,1997.91,1526.2,4
2020-12-18,1981.62,1983.94,1947.14,1952.54,61279348,1997.91,1526.2,5
2020-12-21,1929.14,1935.22,1851.23,1888.8,39620662,1997.91,1526.2,1
2020-12-22,1896.48,1931.66,1896.29,1928.4,19823032,1997.91,1526.2,2
2020-12-23,1934.03,1958.16,1927.07,1955.84,18891251,1997.91,1526.2,3
