Date,Open,High,Low,Close,Volume,OpenMax,OpenMin,Day
2020-11-03,1564.86,1636.9,1564.75,1636.28,42706867,1564.86,1564.86,2
2020-11-04,1622.29,1641.78,1590.72,1640.94,32893579,1622.29,1564.86,3
2020-11-05,1654.61,1678.4,1649.07,1670.43,29239154,1654.61,1564.86,4
2020-11-06,1665.72,1702.98,1654.6,1697.49,29419624,1665.72,1564.86,5
2020-11-09,1707.52,1788.27,1697.78,1765.71,59970055,1707.52,1564.86,1
2020-11-10,1768.9,1794.79,1741.62,1779.34,55221876,1768.9,1564.86,2
2020-11-12,1777.24,1791.08,1761.91,1771.49,52043843,1777.24,1564.86,4
2020-11-13,1768.19,1768.51,1743.81,1749.41,25817243,1777.24,1564.86,5
2020-11-16,1764.1,1799.36,1764.1,1799.02,46540695,1777.24,1564.86,1
2020-11-17,1797.57,1801.73,1775.91,1793.56,38779648,1797.57,1564.86,2
2020-11-18,1792.17,1812.8,1787.08,1810.43,31034452,1797.57,1564.86,3
2020-11-19,1803.49,1806.98,1782.02,1789.79,25264725,1803.49,1564.86,4
2020-11-20,1788.48,1821.3,1780.11,1820.85,24018420,1803.49,1564.86,5
2020-11-23,1835.53,1860.73,1823.32,1832.04,26237893,1835.53,1564.86,1
2020-11-24,1841.11,1861.39,1831.12,1859.42,26738682,1841.11,1564.86,2
2020-11-25,1866.15,1866.15,1840.63,1860.15,28023478,1866.15,1564.86,3
2020-11-26,1865.67,1873.96,1844.11,1849.57,17687253,1866.15,1564.86,4
2020-11-27,1846.73,1853.78,1834.69,1852.69,20434292,1866.15,1564.86,5
2020-11-30,1845.96,1851.37,1817.83,1830.04,70547131,1866.15,1564.86,1
2020-12-01,1844.33,1871.17,1844.33,1853.38,26822976,1866.15,1564.86,2
2020-12-02,1855.33,1899.37,1845.44,1897.97,27335738,1866.15,1564.86,3
2020-12-03,1900.94,1903.32,1880.22,1890.11,29798820,1900.94,1564.86,4
2020-12-04,1894.4,1952.28,1894.35,1947.68,28408098,1900.94,1564.86,5
2020-12-07,1949.61,1965.92,1926.87,1958.53,32118759,1949.61,1564.86,1
