Date,Open,High,Low,Close,Volume,OpenMax,OpenMin,Day
2019-12-27,2145.77,2167.47,2145.77,2151.74,12081456,2145.77,2145.77,5
2019-12-30,2151.48,2160.23,2147.58,2150.09,11041276,2151.48,2145.77,1
2020-01-02,2161.55,2200.57,2161.42,2200.1,21369888,2161.55,2145.77,4
2020-01-03,2192.31,2192.31,2159.03,2173.97,20627251,2192.31,2145.77,5
2020-01-07,2171.72,2176.8,2143.11,2145.01,19556434,2192.31,2145.77,2
2020-01-08,2140.29,2140.29,2114.24,2115.99,20739943,2192.31,2140.29,3
2020-01-09,2132.02,2157.61,2132.02,2157.61,19887696,2192.31,2132.02,4
2020-01-10,2161.6,2167.91,2150.83,2167.91,16496395,2192.31,2132.02,5
2020-01-13,2170.86,2194.42,2167.33,2194.42,22067379,2192.31,2132.02,1
2020-01-14,2194.88,2194.88,2174.44,2182.96,29388336,2194.88,2132.02,2
2020-01-15,2180.55,2183.85,2158.36,2165.08,22745340,2194.88,2132.02,3
2020-01-16,2170.39,2179.43,2163.83,2173.74,20756877,2194.88,2132.02,4
2020-01-17,2172.14,2181.62,2147.94,2175.95,19782963,2194.88,2132.02,5
2020-01-20,2178.31,2183.84,2173.92,2178.06,15631644,2194.88,2132.02,1
2020-01-21,2174.93,2174.93,2152.62,2158.04,18927569,2194.88,2132.02,2
2020-01-22,2168.44,2172.76,2144.68,2146.56,27440004,2194.88,2132.02,3
2020-01-23,2144.56,2159.55,2141.62,2148.41,22561743,2194.88,2132.02,4
2020-01-24,2150.57,2166.31,2150.57,2154.28,17630461,2194.88,2132.02,5
2020-01-27,2141.68,2141.68,2083.69,2083.79,20984119,2194.88,2132.02,1
2020-01-28,2089.16,2105.76,2083.54,2098.04,17437951,2194.88,2089.16,2
2020-01-29,2099.3,2114.31,2090.41,2098.18,25644144,2194.88,2089.16,3
2020-01-30,2078.74,2093.68,2064.09,2079.98,23189128,2194.88,2078.74,4
2020-01-31,2085.41,2087.93,2052.68,2065.9,38290087,2194.88,2078.74,5
2020-02-03,2062.33,2077.58,2050.91,2072.88,25394120,2194.88,2062.33,1
2020-02-04,2082.19,2115.25,2081.81,2106.63,32249751,2194.88,2062.33,2
2020-02-05,2106.64,2133.91,2102.45,2122.91,21929283,2194.88,2062.33,3
2020-02-06,2128.24,2138.87,2105.59,2111.76,23411969,2194.88,2062.33,4
2020-02-07,2107.43,2110.2,2092.36,2110.2,18963173,2194.88,2062.33,5
2020-02-10,2108.67,2112.78,2087.72,2092.89,16134600,2194.88,2062.33,1
2020-02-11,2099.2,2114.89,2094.39,2107.4,21356120,2194.88,2062.33,2
2020-02-12,2120.01,2132.78,2115.92,2126.31,21380076,2194.88,2062.33,3
2020-02-13,2125.22,2125.22,2096.14,2120.07,19110037,2194.88,2062.33,4
2020-02-14,2126.64,2131.28,2111.22,2115.29,20893159,2194.88,2062.33,5
2020-02-17,2125.14,2131.6,2117.45,2121.14,14217981,2194.88,2062.33,1
2020-02-18,2112.15,2118.48,2103.76,2113.49,13882294,2194.88,2062.33,2
2020-02-19,2116.32,2122.67,2097.07,2115.18,21465468,2194.88,2062.33,3
2020-02-20,2115.39,2116.08,2098.12,2099.88,20482243,2194.88,2062.33,4
2020-02-21,2095.8,2106.18,2084.55,2088.53,16533483,2194.88,2062.33,5
2020-02-24,2070.66,2070.66,1997.84,2000.9,25032229,2194.88,2062.33,1
2020-02-25,2000.65,2007.34,1945.71,1945.71,32357249,2194.88,2000.65,2
2020-02-26,1942.66,1957.64,1906.06,1933.51,33550737,2194.88,1942.66,3
2020-02-27,1926.15,1927.44,1833.92,1850.61,33425936,2194.88,1926.15,4
2020-02-28,1817.79,1817.79,1735.37,1768.91,70088832,2194.88,1817.79,5
2020-03-02,1807.25,1840.57,1765.43,1807.7,40207534,2194.88,1807.25,1
2020-03-03,1827.36,1906.87,1827.36,1889.67,39063455,2194.88,1807.25,2
2020-03-04,1882.71,1894.23,1857.9,1860.95,28135069,2194.88,1807.25,3
2020-03-05,1879.11,1893.88,1822.76,1822.85,25502227,2194.88,1807.25,4
2020-03-06,1808.36,1808.36,1749.7,1764.81,34436845,2194.88,1807.25,5
2020-03-09,1685.28,1697.38,1609.08,1625.99,40494707,2194.88,1685.28,1
2020-03-10,1643.34,1657.09,1594.07,1599.48,39334266,2194.88,1643.34,2
2020-03-11,1607.3,1616.03,1495.87,1505.64,44940270,2194.88,1607.3,3
2020-03-12,1450.71,1450.71,1305.73,1305.73,57193099,2194.88,1450.71,4
2020-03-13,1334.37,1442.72,1315.96,1365.97,74136137,2194.88,1334.37,5
2020-03-16,1342.4,1356.01,1248.77,1341.54,64568981,2194.88,1334.37,1
2020-03-17,1370.79,1446.74,1355.07,1429.28,81569696,2194.88,1334.37,2
2020-03-18,1425.27,1465.58,1376.75,1401.29,78265426,2194.88,1334.37,3
2020-03-19,1406.71,1469.43,1386.83,1469.43,51612015,2194.88,1334.37,4
2020-03-20,1502.14,1547.74,1476.65,1488.42,109516157,2194.88,1334.37,5
2020-03-23,1461.22,1463.93,1400.71,1405.45,43978401,2194.88,1334.37,1
2020-03-24,1449.34,1473.02,1424.14,1451.02,37402637,2194.88,1334.37,2
2020-03-25,1487.75,1505.79,1413.22,1441.83,47382329,2194.88,1334.37,3
2020-03-26,1431.53,1492.87,1410.91,1492.01,36791461,2194.88,1334.37,4
2020-03-27,1494.31,1499.62,1465.48,1475.9,33221292,2194.88,1334.37,5
2020-03-30,1482.1,1484.62,1443.16,1477.65,28425038,2194.88,1334.37,1
2020-03-31,1486.89,1523.49,1484.33,1512.84,59768681,2194.88,1334.37,2
2020-04-01,1495.43,1500.43,1473.64,1482.42,36501160,2194.88,1334.37,3
2020-04-02,1490.41,1501.33,1464.86,1491.55,48115276,2194.88,1334.37,4
2020-04-03,1492.1,1509.07,1474.44,1506.48,49706290,2194.88,1334.37,5
2020-04-06,1534.81,1585.04,1534.81,1581.05,45607978,2194.88,1334.37,1
2020-04-07,1602.14,1655.29,1602.14,1603.5,64702693,2194.88,1334.37,2
2020-04-08,1602.33,1619.63,1567.84,1579.18,55926360,2194.88,1334.37,3
2020-04-09,1596.79,1619.77,1579.72,1615.72,50387984,2194.88,1334.37,4
2020-04-14,1631.5,1664.53,1625.89,1662.4,46442620,2194.88,1334.37,2
2020-04-15,1669.23,1673.58,1602.31,1606.21,50591639,2194.88,1334.37,3
2020-04-16,1610.81,1617.55,1589.83,1597.9,43492790,2194.88,1334.37,4
2020-04-17,1618.42,1633.53,1612.01,1625.59,41660521,2194.88,1334.37,5
2020-04-20,1629.69,1643.87,1604.98,1640.06,28317660,2194.88,1334.37,1
2020-04-21,1631.4,1631.4,1572.05,1573.44,33518434,2194.88,1334.37,2
2020-04-22,1574.07,1609.82,1554.34,1605.12,32625994,2194.88,1334.37,3
2020-04-23,1609.41,1626.82,1589.64,1626.1,30890017,2194.88,1334.37,4
2020-04-24,1617.91,1627.49,1601.91,1601.91,26303916,2194.88,1334.37,5
2020-04-27,1614.29,1624.69,1580.48,1591.97,34025549,2194.88,1334.37,1
2020-04-28,1590.34,1622.8,1579.94,1594.25,37309050,2194.88,1334.37,2
2020-04-29,1601.65,1656.4,1600.78,1651.33,35813382,2194.88,1334.37,3
2020-04-30,1661.23,1682.13,1636.35,1648.68,46692062,2194.88,1334.37,4
2020-05-04,1630.24,1630.24,1597.7,1600.65,23786804,2194.88,1334.37,1
2020-05-05,1609.04,1616.34,1591.58,1598.84,22424621,2194.88,1334.37,2
2020-05-06,1604.6,1606.44,1565.07,1567.98,34612015,2194.88,1334.37,3
2020-05-07,1572.16,1602.76,1559.06,1587.35,21763522,2194.88,1334.37,4
2020-05-08,1600.54,1614.18,1599.51,1606.5,15375851,2194.88,1334.37,5
2020-05-11,1614.21,1619.36,1581.5,1587.31,17939326,2194.88,1334.37,1
2020-05-12,1589.69,1624.52,1584.01,1622.51,29571887,2194.88,1334.37,2
2020-05-13,1615.9,1634.77,1607.0,1614.32,24392087,2194.88,1334.37,3
2020-05-14,1605.68,1605.68,1559.52,1579.16,26391998,2194.88,1334.37,4
2020-05-15,1585.51,1597.04,1568.38,1572.55,18369715,2194.88,1334.37,5
2020-05-18,1585.92,1639.08,1585.92,1639.08,29449606,2194.88,1334.37,1
2020-05-19,1651.08,1658.34,1629.29,1640.18,24494948,2194.88,1334.37,2
2020-05-20,1640.26,1662.2,1634.44,1652.64,24022509,2194.88,1334.37,3
2020-05-21,1651.03,1653.92,1636.24,1637.84,22155298,2194.88,1334.37,4
2020-05-22,1632.27,1635.98,1617.76,1630.44,19967851,2194.88,1334.37,5
2020-05-25,1639.26,1650.39,1634.34,1644.74,12109905,2194.88,1334.37,1
2020-05-26,1657.26,1712.64,1657.26,1709.71,58196613,2194.88,1334.37,2
2020-05-27,1713.73,1763.02,1705.09,1707.59,59902537,2194.88,1334.37,3
2020-05-28,1722.43,1757.78,1694.6,1718.45,59312587,2194.88,1334.37,4
2020-05-29,1718.19,1722.65,1699.32,1722.65,76818422,2194.88,1334.37,5
2020-06-01,1733.13,1749.58,1722.77,1733.52,36707001,2194.88,1334.37,1
2020-06-02,1735.86,1739.48,1722.5,1736.36,48471712,2194.88,1334.37,2
2020-06-03,1741.91,1780.86,1741.36,1766.85,61762561,2194.88,1334.37,3
2020-06-04,1765.6,1786.58,1755.73,1786.58,48701312,2194.88,1334.37,4
2020-06-05,1794.38,1847.95,1794.38,1842.47,59248870,2194.88,1334.37,5
2020-06-08,1842.22,1852.69,1813.02,1841.25,47827333,2194.88,1334.37,1
2020-06-09,1848.11,1856.66,1811.96,1835.59,63659384,2194.88,1334.37,2
2020-06-10,1840.1,1846.29,1817.06,1841.18,99913864,2194.88,1334.37,3
2020-06-12,1792.35,1812.33,1754.16,1788.83,89471276,2194.88,1334.37,5
2020-06-15,1767.35,1767.35,1735.27,1741.47,89293321,2194.88,1334.37,1
2020-06-16,1765.17,1811.7,1765.17,1798.0,66678393,2194.88,1334.37,2
2020-06-17,1807.91,1812.65,1780.94,1787.81,50197464,2194.88,1334.37,3
2020-06-18,1787.9,1804.13,1780.45,1795.86,75865507,2194.88,1334.37,4
2020-06-19,1791.68,1809.23,1791.68,1807.85,91765353,2194.88,1334.37,5
2020-06-22,1805.25,1807.19,1786.99,1797.05,43852662,2194.88,1334.37,1
2020-06-23,1807.1,1847.33,1806.21,1825.99,44376322,2194.88,1334.37,2
2020-06-24,1830.39,1836.89,1784.23,1784.23,38481948,2194.88,1334.37,3
2020-06-25,1781.84,1798.8,1759.21,1793.36,33804564,2194.88,1334.37,4
2020-06-26,1799.33,1800.49,1759.37,1759.43,27866129,2194.88,1334.37,5
2020-06-29,1758.46,1771.21,1750.91,1769.47,32076105,2194.88,1334.37,1
2020-06-30,1770.24,1777.07,1754.41,1758.82,33776211,2194.88,1334.37,2
2020-07-01,1760.72,1774.79,1739.93,1772.38,30478139,2194.88,1334.37,3
2020-07-02,1778.45,1809.74,1778.45,1804.01,36329707,2194.88,1334.37,4
2020-07-03,1811.07,1812.22,1796.23,1800.96,15910650,2194.88,1334.37,5
2020-07-06,1820.81,1833.77,1808.34,1818.55,21278639,2194.88,1334.37,1
2020-07-07,1816.46,1816.46,1794.61,1800.93,21869632,2194.88,1334.37,2
2020-07-08,1797.88,1797.88,1780.87,1788.22,18721169,2194.88,1334.37,3
2020-07-09,1791.68,1802.31,1789.08,1791.68,23146063,2194.88,1334.37,4
2020-07-10,1781.84,1797.27,1772.5,1797.27,19017746,2194.88,1334.37,5
2020-07-13,1806.55,1814.47,1799.91,1801.64,22254102,2194.88,1334.37,1
2020-07-14,1797.85,1798.4,1763.64,1771.7,37539275,2194.88,1334.37,2
