,0
0,1812.76
1,1812.7826
2,1812.8317
3,1812.8656
4,1812.902
5,1812.8389
6,1812.6715
7,1812.6783
8,1812.6293
9,1812.5636
10,1812.5773
11,1812.587
12,1812.5779
13,1812.5139
14,1812.4984
15,1812.4017
16,1812.3383
17,1812.4412
18,1812.5751
19,1812.5487
20,1812.444
21,1812.38
22,1812.3182
23,1812.3875
24,1812.4086
25,1812.4003
26,1812.3779
27,1812.4146
28,1812.4496
29,1812.5219
30,1812.4958
31,1812.609
32,1812.7498
33,1812.72
34,1812.8009
35,1812.7977
36,1812.856
37,1812.7598
38,1812.6683
39,1812.617
40,1812.6815
41,1812.6984
42,1812.709
43,1812.6241
44,1812.6161
45,1812.6176
46,1812.615
47,1812.6635
48,1812.6489
49,1812.67
50,1812.7415
51,1812.9105
52,1813.1572
53,1813.3163
54,1813.4276
55,1813.7296
56,1813.724
57,1813.6178
58,1813.5209
59,1813.5588
60,1813.7516
61,1814.0569
62,1814.1357
63,1814.2225
64,1814.446
65,1814.5422
66,1814.5388
67,1814.5046
68,1814.4618
69,1814.4655
70,1814.3633
71,1814.4255
72,1814.4292
73,1814.3904
74,1814.4366
75,1814.3752
76,1814.3884
77,1814.3735
78,1814.3724
79,1814.3757
80,1814.3698
81,1814.2941
82,1814.1953
83,1814.2048
84,1814.1976
85,1814.1248
86,1814.092
87,1814.185
88,1814.162
89,1814.1385
90,1814.1643
91,1814.2334
92,1814.1748
93,1814.1731
94,1814.1825
95,1814.2157
96,1814.1742
97,1814.0854
98,1814.1552
99,1814.1874
100,1814.2059
101,1814.2433
102,1814.1964
103,1814.1844
104,1814.2045
105,1814.1708
106,1814.2
107,1814.231
108,1814.2021
109,1814.1055
110,1814.1163
111,1814.1068
112,1814.139
113,1814.1217
114,1814.0592
115,1813.9663
116,1813.9446
117,1813.9496
118,1813.9164
119,1813.9095
120,1813.879
121,1813.8213
122,1813.7239
123,1813.6257
124,1813.6174
125,1813.6304
126,1813.7676
127,1813.8477
128,1813.814
129,1813.7368
130,1813.7714
131,1813.7554
132,1813.7357
133,1813.7108
134,1813.6929
135,1813.785
136,1813.7736
137,1813.8464
138,1813.831
139,1813.8402
140,1813.7842
141,1813.7213
142,1813.6882
143,1813.7102
144,1813.7568
145,1813.7668
146,1813.7825
147,1813.73
148,1813.7684
149,1813.7814
150,1813.7628
151,1813.7457
152,1813.724
153,1813.6003
154,1813.6285
155,1813.6515
156,1813.7177
157,1813.6985
158,1813.6631
159,1813.6868
160,1813.7137
161,1813.8308
162,1813.8016
163,1813.7083
164,1813.6791
165,1813.659
166,1813.6937
167,1813.6814
168,1813.6462
169,1813.6006
170,1813.5809
171,1813.5807
172,1813.5784
173,1813.59
174,1813.6396
175,1813.6726
176,1813.6791
177,1813.6514
178,1813.6287
179,1813.6714
180,1813.6127
181,1813.6343
182,1813.6768
183,1813.7559
184,1813.7997
185,1813.7904
186,1813.8612
187,1813.831
188,1813.8302
189,1813.8864
190,1813.8151
191,1813.827
192,1813.8053
193,1813.859
194,1813.8882
195,1813.9021
196,1813.894
197,1813.9606
198,1814.016
199,1814.0001
200,1814.05
201,1814.064
202,1813.9944
203,1813.9176
204,1813.9646
205,1813.9635
206,1814.0128
207,1813.9581
208,1813.903
209,1813.9081
210,1813.9078
211,1813.9629
212,1814.0006
213,1814.0405
214,1814.0797
215,1814.0963
216,1814.123
217,1814.0817
218,1814.1025
219,1814.0957
220,1814.1296
221,1814.1151
222,1814.1337
223,1814.1366
224,1814.2113
225,1814.279
226,1814.3239
227,1814.3138
228,1814.2317
229,1814.1492
230,1814.0851
231,1814.0526
232,1813.9413
233,1813.82
234,1813.8091
235,1813.8411
236,1813.8153
237,1813.7539
238,1813.7524
239,1813.7445
240,1813.7522
241,1813.6472
242,1813.6138
243,1813.5586
244,1813.5681
245,1813.6072
246,1813.6263
